stimulus_picture,words,sentences,nodes,edges,unconnected,average_total_degree,parallel_edges,bidirectional_edges,lsc,lcc,L1,L2,L3,sizes_connected_components,cc_size_mean,cc_size_med,cc_size_sd,cc_size_max,connected_components,max_degree_centrality,max_degree_node,max_indegree_centrality,max_outdegree_centrality,max_indegree_centrality_value,max_outdegree_centrality_value,mean_sentence_length,mean_confidence,std_confidence,density,diameter,average_shortest_path,clustering,consecutive_edges
10,113,5,16,18,4,2.25,0,5,3,16,1,2,0,[16],16.0,16.0,0.0,16,1,1.0,girl,"('girl', 0.4)","('girl', 0.6)",0.4,0.6,22.6,0.5157034405866784,0.25463601294874416,0.13333333333333333,4,2.2916666666666665,0.0,7
13,129,5,23,20,0,1.7391304347826086,0,0,1,17,0,0,0,"[17, 2, 2, 2]",5.75,2.0,6.49519052838329,17,4,0.5454545454545454,the men,"('the men', 0.2727272727272727)","('the men', 0.2727272727272727)",0.2727272727272727,0.2727272727272727,25.8,0.5716745576876185,0.2557375053673666,0.07905138339920949,5,2.375,0.11853832442067735,5
30,119,6,21,20,2,1.9047619047619047,0,0,1,19,0,0,0,"[19, 2]",10.5,10.5,8.5,19,2,0.35000000000000003,man,"('picture', 0.2)","('man', 0.30000000000000004)",0.2,0.30000000000000004,19.833333333333332,0.5016755888536731,0.23227552794144202,0.09523809523809523,7,3.2046783625730995,0.013032581453634085,6
10,71,3,13,12,3,1.8461538461538463,1,0,1,6,0,0,0,"[6, 5, 2]",4.333333333333333,5.0,1.699673171197595,6,3,0.25,bread,"('bread', 0.25)","('it', 0.25)",0.25,0.25,23.666666666666668,0.7681803806828517,0.19801321076808623,0.14102564102564102,5,2.3333333333333335,0.0,2
13,97,7,25,20,1,1.6,0,0,1,10,0,0,0,"[10, 7, 2, 2, 2, 2]",4.166666666666667,2.0,3.1841621957571333,10,6,0.20833333333333331,it,"('bit', 0.08333333333333333)","('it', 0.20833333333333331)",0.08333333333333333,0.20833333333333331,13.857142857142858,0.4975724871613331,0.24539269808155545,0.06666666666666667,4,2.2666666666666666,0.0,5
24,92,8,19,15,0,1.5789473684210527,0,3,1,4,3,0,0,"[4, 4, 2, 2, 2, 2, 2, 1]",2.375,2.0,0.9921567416492215,4,8,0.2222222222222222,it,"('individual', 0.1111111111111111)","('it', 0.16666666666666666)",0.1111111111111111,0.16666666666666666,11.5,0.6095956881991079,0.23285391094185257,0.08771929824561403,2,1.3333333333333333,0.5833333333333334,1
30,119,13,18,15,6,1.6666666666666667,1,1,1,7,1,0,0,"[7, 4, 3, 2, 2]",3.6,3.0,1.8547236990991407,7,5,0.29411764705882354,fog,"('image', 0.11764705882352941)","('fog', 0.1764705882352941)",0.11764705882352941,0.1764705882352941,9.153846153846153,0.5183564861218924,0.19496382091732845,0.0915032679738562,4,2.1904761904761907,0.0,4
10,81,9,15,10,3,1.3333333333333333,0,0,1,5,0,0,0,"[5, 4, 2, 2, 2]",3.0,2.0,1.2649110640673518,5,5,0.2857142857142857,it,"('photograph', 0.07142857142857142)","('it', 0.2857142857142857)",0.07142857142857142,0.2857142857142857,9.0,0.4857071558212752,0.27415411336920825,0.09523809523809523,2,1.6,0.0,3
13,122,7,19,19,4,2.0,0,3,2,13,1,1,0,"[13, 4, 2]",6.333333333333333,4.0,4.784233364802441,13,3,0.5555555555555556,i,"('i', 0.2222222222222222)","('i', 0.3333333333333333)",0.2222222222222222,0.3333333333333333,17.428571428571427,0.36878505882573986,0.19166006013547995,0.10526315789473684,4,2.358974358974359,0.08827838827838827,6
24,129,5,16,14,8,1.75,0,2,2,12,0,1,0,"[12, 2, 2]",5.333333333333333,2.0,4.714045207910317,12,3,0.6666666666666666,man,"('man', 0.26666666666666666)","('man', 0.4)",0.26666666666666666,0.4,25.8,0.45180803026602356,0.20667898436670518,0.10833333333333334,4,2.212121212121212,0.0,5
